,intern_role,company_name,hiring_type,location,job_offer(LPA),stipend_per_month,duration(months),posted_time,early_applicant,apply_links
103,Embedded Developer,Exor Robotics,Actively hiring,Pondicherry,,"7,000 - 12,000",6,Few hours ago,,https://internshala.com/internship/detail/embedded-developer-internship-in-pondicherry-at-exor-robotics1750667467
104,Social Media Marketing,Right Health India,Actively hiring,Mumbai,₹ 6,"8,000 - 20,000",3,Few hours ago,,https://internshala.com/internship/detail/social-media-marketing-internship-in-mumbai-at-right-health-india1750663616
105,Sales Executive (Female),Requin Solutions Private Limited,Actively hiring,Jaipur,,"9,000 - 10,000",6,3 weeks ago,Be an early applicant,https://internshala.com/internship/detail/sales-executive-female-internship-in-jaipur-at-requin-solutions-private-limited1748334128
106,Law/Legal,Movi Ecoserve Private Limited,Actively hiring,Mumbai,,"5,000 - 7,000",6,6 days ago,,https://internshala.com/internship/detail/law-legal-internship-in-mumbai-at-movi-ecoserve-private-limited1750133520
107,Social Media Marketing,EMIAC,Actively hiring,Jaipur,,"5,000 - 7,000",5,1 week ago,,https://internshala.com/internship/detail/social-media-marketing-internship-in-jaipur-at-emiac1749893369
108,Digital Marketing Manager,Paudhewale.com,Actively hiring,Patna,,"5,000 - 8,000",3,2 weeks ago,,https://internshala.com/internship/detail/part-time-digital-marketing-manager-internship-in-patna-at-paudhewalecom1749448649
109,Sales Telecalling ( Trading Application),Ashika Group,Actively hiring,Kolkata,,"5,000 - 10,000",3,4 days ago,,https://internshala.com/internship/detail/sales-telecalling-internship-in-kolkata-at-ashika-group1750334710
110,Human Resources (HR),Pehchaan AI Technologies,Actively hiring,Kolkata,,"8,000 - 10,000",6,4 days ago,,https://internshala.com/internship/detail/human-resources-hr-internship-in-kolkata-at-pehchaan-ai-technologies1750340683
111,Administration,Shree Impex,Actively hiring,"Gubbi,Bangalore",,"9,000 - 13,000",6,3 weeks ago,,https://internshala.com/internship/detail/administration-internship-in-multiple-locations-at-sriram-g1744954775
112,Influencer Marketing,Mosaic Wellness,Actively hiring,Thane,,"15,000 - 20,000",2,Today,,https://internshala.com/internship/detail/influencer-marketing-internship-in-thane-at-mosaic-wellness1750655160
113,Customer Support (Female),Livvasa,Actively hiring,Jaipur,₹ 6,"5,000 - 6,000",6,3 weeks ago,Be an early applicant,https://internshala.com/internship/detail/customer-support-female-internship-in-jaipur-at-livvasa1747910329
114,Customer Service/Customer Support,NestAway Technologies Private Limited,Actively hiring,Bangalore,,"15,000 - 17,000",6,Today,,https://internshala.com/internship/detail/customer-service-customer-support-internship-in-bangalore-at-nestaway-technologies-private-limited1750657357
115,Weekend Event Host,Breakout,Actively hiring,Bangalore,,"4,000 - 5,000",6,Few hours ago,,https://internshala.com/internship/detail/part-time-weekend-event-host-internship-in-bangalore-at-breakout1750661813
116,Video Editing,Traya Health,Actively hiring,Mumbai,,,3,Today,,https://internshala.com/internship/detail/video-editing-internship-in-mumbai-at-traya-health1750653181
117,Content and Social Media Marketing,Yajmaan,Actively hiring,Bangalore,₹ 5,"10,000 - 20,000",2,Today,,https://internshala.com/internship/detail/content-and-social-media-marketing-internship-in-bangalore-at-yajmaan1750657035
118,Inside Sales,ClearTax,Actively hiring,Bangalore,,"23,000 - 30,000",2,Few hours ago,,https://internshala.com/internship/detail/inside-sales-internship-in-bangalore-at-cleartax1750659674
